Gene	DMSO	osi	EntrezID	Symbol	HumanGene	Control	Treatment	Diff	Rank	RandomIndex	Label	group	rank
AP3S1	-0.0168440771349862	0.769890781192151	1176	AP3S1	AP3S1	-0.0168440771349862	0.769890781192151	0.786734858327137	18759	18768		top	35
CPD	-0.254776859504132	0.69636245834876	1362	CPD	CPD	-0.254776859504132	0.69636245834876	0.951139317852892	18898	7844		top	47
CSNK2A1	-0.0308848484848485	0.864309514994446	1457	CSNK2A1	CSNK2A1	-0.0308848484848485	0.864309514994446	0.895194363479295	18856	14417		top	18
CST1	-0.311658402203857	0.823565346168086	1469	CST1	CST1	-0.311658402203857	0.823565346168086	1.13522374837194	18967	12220		top	29
CSTF3	-0.99337741046832	0.451110699740837	1479	CSTF3	CSTF3	-0.99337741046832	0.451110699740837	1.44448811020916	18992	11106		top	110
CYB5A	-0.840617079889807	0.287060348019252	1528	CYB5A	CYB5A	-0.840617079889807	0.287060348019252	1.12767742790906	18964	17299		top	151
DAPK3	-0.423239669421488	0.825796001480933	1613	DAPK3	DAPK3	-0.423239669421488	0.825796001480933	1.24903567090242	18983	15371		top	28
DDOST	-0.926060606060606	-0.168067382450944	1650	DDOST	DDOST	-0.926060606060606	-0.168067382450944	0.757993223609662	18724	11883		top	226
DHFR	-1.97564738292011	-1.04239170677527	1719	DHFR	DHFR	-1.97564738292011	-1.04239170677527	0.933255676144842	18887	16590		top	280
DPH1	-1.08947658402204	0.131580895964458	1801	DPH1	DPH1	-1.08947658402204	0.131580895964458	1.2210574799865	18979	2989		top	187
DSC2	-0.676628099173554	0.371899296556831	1824	DSC2	DSC2	-0.676628099173554	0.371899296556831	1.04852739573038	18943	12340		top	130
DYRK1A	-0.866358126721763	-0.102425027767494	1859	DYRK1A	DYRK1A	-0.866358126721763	-0.102425027767494	0.76393309895427	18731	7218		top	220
SLC29A1	-0.0611085399449036	0.779257682339874	2030	SLC29A1	SLC29A1	-0.0611085399449036	0.779257682339874	0.840366222284778	18822	700		top	33
ETF1	-1.14358126721763	-0.0231349500185117	2107	ETF1	ETF1	-1.14358126721763	-0.0231349500185117	1.12044631719912	18961	266		top	210
GART	-1.35988980716253	-0.462384302110329	2618	GART	GART	-1.35988980716253	-0.462384302110329	0.897505505052205	18860	4392		top	259
GATA6	-0.286677685950413	0.562439837097371	2627	GATA6	GATA6	-0.286677685950413	0.562439837097371	0.849117523047785	18828	9441		top	77
GRSF1	-0.937774104683196	-0.0418483894853758	2926	GRSF1	GRSF1	-0.937774104683196	-0.0418483894853758	0.89592571519782	18859	9411		top	212
HSD17B10	-1.54347107438017	-0.588208071084783	3028	HSD17B10	HSD17B10	-1.54347107438017	-0.588208071084783	0.955263003295382	18902	4468		top	265
HAL	-0.547316804407714	0.355831173639393	3034	HAL	HAL	-0.547316804407714	0.355831173639393	0.903147978047106	18863	8278		top	133
HDAC1	-0.140407713498623	0.691336542021474	3065	HDAC1	HDAC1	-0.140407713498623	0.691336542021474	0.831744255520096	18807	3977		top	48
HIVEP1	-0.238225895316804	0.648593113661607	3096	HIVEP1	HIVEP1	-0.238225895316804	0.648593113661607	0.886819008978411	18853	17519		top	55
HLA-DPB1	-0.215548209366391	0.697056645686783	3115	HLA-DPB1	HLA-DPB1	-0.215548209366391	0.697056645686783	0.912604855053174	18869	7132		top	46
HSPA8	-0.61299173553719	0.169131803035913	3312	HSPA8	HSPA8	-0.61299173553719	0.169131803035913	0.782123538573103	18754	16622		top	181
HSPE1	-2.55250688705234	-1.74861162532395	3336	HSPE1	HSPE1	-2.55250688705234	-1.74861162532395	0.803895261728387	18778	5932		top	285
IFNA16	-0.431460055096419	0.342169566827101	3449	IFNA16	IFNA16	-0.431460055096419	0.342169566827101	0.77362962192352	18744	8225		top	138
INSL3	-0.611338842975207	0.19615883006294	3640	INSL3	INSL3	-0.611338842975207	0.19615883006294	0.807497673038146	18783	7463		top	172
ITGA1	-0.362424242424242	0.434302110329508	3672	ITGA1	ITGA1	-0.362424242424242	0.434302110329508	0.79672635275375	18774	4384		top	116
JUND	-0.497476584022039	0.320131432802666	3727	JUND	JUND	-0.497476584022039	0.320131432802666	0.817608016824704	18789	14260		top	142
KISS1	-0.337818181818182	0.492058496853017	3814	KISS1	KISS1	-0.337818181818182	0.492058496853017	0.829876678671199	18806	10747		top	100
MARCKS	-0.391393939393939	0.437967419474269	4082	MARCKS	MARCKS	-0.391393939393939	0.437967419474269	0.829361358868208	18805	2137		top	114
