condition,replicate,day,volume,sen,res,gd
C5,R2,D20,10,4,0,0
C5,R3,D20,10,6,0,0
C6,R1,D20,10,12,1,0
C6,R2,D20,10,9,4,0
C6,R3,D20,10,8,4,0
C7,R1,D20,10,302,"17,606",0
C7,R2,D20,10,304,"20,223",1
C7,R3,D20,10,41,"1,374",0
C8,R1,D20,10,"2,842","59,142",0
C8,R2,D20,10,"3,915","57,546",0
C8,R3,D20,10,"3,285","58,519",0
C1,R1,D22,10,0,0,0
C1,R2,D22,10,0,0,0
C1,R3,D22,10,0,0,0
C2,R1,D22,10,0,0,0
C2,R2,D22,10,0,0,0
C2,R3,D22,10,0,0,0
C3,R1,D22,10,0,0,0
C3,R2,D22,10,0,0,0
C3,R3,D16,10,0,0,0
C4,R1,D22,10,0,0,0
C4,R2,D22,10,0,0,0
C4,R3,D22,10,0,0,0
C5,R1,D22,10,3,0,0
C5,R2,D22,10,2,0,1
C5,R3,D22,10,5,0,0
C6,R1,D22,10,116,"2,317",0
C6,R2,D22,10,126,"2,438",1
C6,R3,D22,10,113,"2,382",1
C7,R1,D22,10,"1,462","38,437",2
C7,R2,D22,10,"1,622","38,566",2
C7,R3,D22,10,187,"11,004",0
C8,R1,D22,10,"3,624","62,185",0
C8,R2,D22,10,"3,596","63,782",3
C8,R3,D22,10,"3,533","62,525",1
C1,R1,D24,10,0,0,0
C1,R2,D24,10,0,0,0
C1,R3,D24,10,0,0,0
C2,R1,D24,10,0,0,0
C2,R2,D24,10,0,0,0
C2,R3,D24,10,0,0,0
C3,R1,D24,10,0,0,0
C3,R2,D24,10,0,0,0
C3,R3,D24,10,0,0,0
C4,R1,D24,10,0,0,0
C4,R2,D24,10,0,0,0
C4,R3,D24,10,0,0,0
C5,R1,D24,10,9,0,0
C5,R2,D24,10,5,0,0
C5,R3,D24,10,3,0,0
C6,R1,D24,10,280,"21,341",1
C6,R2,D24,10,208,"22,024",1
C6,R3,D24,10,226,"22,515",1
C7,R1,D24,10,"1,779","46,153",2
C7,R2,D24,10,"2,388","54,269",2
C7,R3,D24,10,914,"27,864",3
C1,R1,D26,10,0,0,0
C1,R2,D26,10,3,0,0
C1,R3,D26,10,1,0,0
C2,R1,D26,10,0,0,0
C2,R2,D26,10,0,0,0
C2,R3,D26,10,1,0,0
C3,R1,D26,10,2,0,0
C3,R2,D26,10,1,0,0
C3,R3,D26,10,1,0,0
C4,R1,D26,10,2,0,0
C4,R2,D26,10,0,0,0
C4,R3,D26,10,1,0,0
C5,R1,D26,10,2,0,0
C5,R2,D26,10,4,1,0
C5,R3,D26,10,3,0,0
C6,R1,D26,10,"1,333","47,303",3
C6,R2,D26,10,"1,334","45,149",5
C6,R3,D26,10,"1,224","45,623",2
